"state_abb","district","year","total_votes","dem","other","rep"
"AL",3,2004,251337,0.411622642109996,0.00597206141554964,0.582405296474455
"AL",3,2008,283250,0.365253309796999,0.00937687555163283,0.625369814651368
"AL",3,2008,288468,0.433230028980684,0.00811528488428526,0.558654686135031
"AL",3,2012,280786,0.367144373294965,0.0109585235731126,0.621897103131922
"AL",3,2016,291243,0.318915819436004,0.0326462781938107,0.648437902370186
"AL",4,1992,240209,0.435275114587713,0.118917276205305,0.445807609206982
"AL",4,1996,213135,0.431796748539658,0.0902151218711146,0.477988129589227
"AL",4,2000,232587,0.374320146869773,0.0182297376895527,0.607450115440674
"AL",4,2000,232673,0.38896648945086,0.0185582340881838,0.592475276460956
"AL",4,2004,261754,0.280813282700551,0.00665128326596728,0.712535434033482
"AL",4,2008,269509,0.223395137082621,0.0146191778382169,0.761985685079162
"AL",4,2008,281873,0.255973434844771,0.0143362436274492,0.72969032152778
"AL",4,2012,275302,0.239199134041889,0.0140245984409848,0.746776267517127
"AL",4,2016,292861,0.172938697880565,0.029430344088151,0.797630958031284
"AL",5,1992,249298,0.409646286773259,0.148087830628405,0.442265882598336
"AL",5,1996,229354,0.427313236307193,0.0869049591461235,0.485781804546683
"AL",5,2000,243534,0.438070248918016,0.0215206090320037,0.540409142049981
"AL",5,2000,253390,0.427534630411618,0.0225502190299538,0.549915150558428
"AL",5,2004,280410,0.394540137655576,0.0079348097428765,0.597525052601548
"AL",5,2008,295856,0.362416175436699,0.0134491103780217,0.624134714185279
"AL",5,2008,312359,0.377251816019388,0.0137534055365781,0.608994778444034
"AL",5,2012,297939,0.347725541134259,0.0151037628507849,0.637170696014956
"AL",5,2016,314679,0.308727306239056,0.0539629273005189,0.637309766460425
"AL",6,1992,285534,0.261219329396849,0.0988148521717204,0.63996581843143
"AL",6,1996,259393,0.277810118237578,0.0480429309965959,0.674146950765826
"AL",6,2000,272790,0.249184354265186,0.0146522966384398,0.736163349096374
"AL",6,2000,284155,0.285150709999824,0.0240221006141015,0.690827189386074
"AL",6,2004,318266,0.218210553436434,0.00226854266556905,0.779520903897997
"AL",6,2008,319795,0.25127659907128,0.00905267436951797,0.739670726559202
"AL",6,2008,350510,0.222960828507033,0.0101823057830019,0.766856865709965
"AL",6,2012,314597,0.245504566159245,0.0113128860097204,0.743182547831035
"AL",6,2016,335943,0.258219400314934,0.0456863217867317,0.696094277898334
"AL",7,1992,217806,0.688107765626291,0.0528038713350413,0.259088363038667
"AL",7,1996,198995,0.732907862006583,0.0295535063695068,0.23753863162391
"AL",7,2000,207164,0.725700411268367,0.00913768801529223,0.265161900716341
"AL",7,2000,239077,0.663300944883866,0.00764188943311151,0.329057165683023
"AL",7,2004,249541,0.644683639161501,0.000933714299453797,0.354382646539046
"AL",7,2008,281961,0.736740187472736,0.00506453020098524,0.258195282326279
"AL",7,2008,323223,0.717021994103142,0.00410552466872716,0.27887248122813
"AL",7,2012,315106,0.725051252594365,0.00486185601035842,0.270086891395277
"AL",7,2016,294433,0.694996824404873,0.0217231084830844,0.283280067112042
"AR",1,1992,222861,0.590435293748121,0.0902625403278277,0.319302165924051
"AR",1,1996,201598,0.578547406224268,0.0955217809700493,0.325930812805683
"AR",1,2000,203481,0.504440218005612,0.0237270310250097,0.471832750969378
"AR",1,2000,220189,0.495755918778867,0.02489679320947,0.479347288011663
"AR",1,2004,246193,0.47115068259455,0.0122667988123139,0.516582518593136
"AR",1,2008,247627,0.384053435206985,0.0290154143126557,0.58693115048036
"AR",1,2008,262414,0.392292331963996,0.0286722507183306,0.579035417317674
"AR",1,2012,253460,0.363311765170047,0.0269233804150556,0.609764854414898
"AR",1,2016,260716,0.301811166173154,0.0482939290262201,0.649894904800626
"AR",2,1992,234705,0.555740184486909,0.0824353976268081,0.361824417886283
"AR",2,1996,225741,0.551716347495581,0.0796399413487138,0.368643711155705
"AR",2,2000,235612,0.478413663141096,0.0289331612990849,0.492653175559819
"AR",2,2004,282655,0.475767278130583,0.00985300100829633,0.51437972086112
"AR",2,2008,293250,0.442925831202046,0.0191986359761296,0.537875532821824
"AR",2,2008,299286,0.440685498152269,0.0195632271472772,0.539751274700454
"AR",2,2012,292515,0.429130130078799,0.0234107652599012,0.547459104661299
"AR",2,2016,306974,0.416592284688606,0.0596434877220872,0.523764227589307
"AR",3,1992,252453,0.432203221985875,0.14256515074093,0.425231627273195
"AR",3,1996,244958,0.437201479437291,0.111876321655141,0.450922198907568
"AR",3,2000,233407,0.371621245292558,0.0329510254619613,0.595427729245481
"AR",3,2000,269385,0.372318429014236,0.0337323904449023,0.593949180540862
"AR",3,2004,275958,0.36475115778488,0.0124982787235739,0.622750563491546
"AR",3,2008,253908,0.338677788805394,0.0229689493832412,0.638353261811365
"AR",3,2008,288434,0.334513268200004,0.0239014817947953,0.641585250005201
