"year","state_abb","district","total_votes","dem","other","rep"
1976,"CO",3,175232,0.00000290826749859671,0.000000117728460811931,0.00000268072427433862
1976,"CO",4,221018,0.0000015761851591939,0.000000502876659985691,0.00000244545654584045
1976,"CO",5,190851,0.00000175891765646336,NA,0.00000348077194432469
1976,"CT",1,225076,0.00000253614319514001,0.000000049171714436552,0.00000185762880721243
1976,"CT",2,219308,0.00000296665010333738,0.0000000391092823608646,0.00000155403779452318
1976,"CT",3,222643,0.00000245356530133252,0.0000000868672223801239,0.00000195106282983542
1976,"CT",4,207058,0.00000178951723709228,0.0000000938119226243468,0.00000294623550332465
1976,"CT",5,236087,0.00000138701223124534,0.0000000317562431999826,0.00000281695818564185
1976,"CT",6,238300,0.00000237579483574466,0.0000000179971116572857,0.00000180259915624892
1976,"DE",1,215085,0.00000221373870970034,0.0000000440538564252795,0.0000023915321194638
1976,"FL",1,1,1,NA,NA
1976,"FL",2,1,1,NA,NA
1976,"FL",3,1,1,NA,NA
1976,"FL",4,1,1,NA,NA
1976,"FL",5,234631,0.00000174853799659697,NA,0.0000025134734170696
1976,"FL",6,232218,0.00000149876126029037,0.000000000482149351870797,0.00000280705498238594
1976,"FL",7,156338,0.00000420345333685019,NA,0.00000219294421205027
1976,"FL",8,178154,0.00000325657695341897,NA,0.0000023565442787734
1976,"FL",9,167139,0.0000013112373752805,NA,0.00000467180667787286
1976,"FL",10,247686,0.00000135966156793126,NA,0.00000267770832782385
1976,"FL",11,218437,0.00000417127015762639,0.000000406708847761895,NA
1976,"FL",12,199076,0.00000231506680355295,0.00000000148872403415431,0.00000270665168975703
1976,"FL",13,163179,0.00000480039609607882,NA,0.00000132784344454835
1976,"FL",14,113439,0.00000642387218497677,NA,0.00000239143824618006
