year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
2010,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,1345,254335,20171005
2014,Alaska,AK,2,94,81,US House,0,gen,FALSE,Jim C. McDermott,libertarian,FALSE,21290,279741,20171005
2006,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,132743,234645,20171005
1994,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,118537,208240,20171005
1994,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,254,208240,20171005
1992,Alaska,AK,2,94,81,US House,0,gen,FALSE,John Devens,democrat,FALSE,102378,239116,20171005
1996,Alaska,AK,2,94,81,US House,0,gen,FALSE,"Georgianna \Georg\"" Lincoln""",democrat,FALSE,85114,233700,20171005
2006,Alaska,AK,2,94,81,US House,0,gen,FALSE,"William W. \Bill\"" Ratigan""",impeach now,FALSE,1615,234645,20171005
1996,Alabama,AL,1,63,41,US House,1,gen,FALSE,Bob Burns,libertarian,FALSE,3311,205417,20171005
1992,Alabama,AL,1,63,41,US House,2,gen,FALSE,Malcolm S. Brassell,independent,FALSE,1426,228160,20171005
1976,Alabama,AL,1,63,41,US House,1,gen,FALSE,Bill Davenport,democrat,FALSE,58906,157170,20171005
1986,Alabama,AL,1,63,41,US House,6,gen,FALSE,Martin J. Boyers,socialist workers,FALSE,444,191976,20171005
2012,Alabama,AL,1,63,41,US House,7,gen,FALSE,Don Chamberlain,republican,FALSE,73835,306558,20171005
2002,Alabama,AL,1,63,41,US House,7,gen,FALSE,Lauren Orth McCay,libertarian,FALSE,12100,166309,20171005
1998,Alabama,AL,1,63,41,US House,6,gen,FALSE,Spencer Bachus,republican,FALSE,154761,215582,20171005
1976,Alabama,AL,1,63,41,US House,7,gen,FALSE,Walter Flowers,democrat,FALSE,110496,110501,20171005
1994,Alabama,AL,1,63,41,US House,7,gen,FALSE,,,TRUE,153,151117,20171005
1990,Alabama,AL,1,63,41,US House,5,gen,FALSE,Bud Cramer,democrat,FALSE,113047,168383,20171005
1988,Alabama,AL,1,63,41,US House,4,gen,FALSE,,,TRUE,5,137149,20171005
1998,Alabama,AL,1,63,41,US House,3,gen,FALSE,Bob Riley,republican,FALSE,101731,175217,20171005
1980,Alabama,AL,1,63,41,US House,6,gen,FALSE,Charles C. Robey,statesman,FALSE,466,187982,20171005
2004,Alabama,AL,1,63,41,US House,5,gen,FALSE,,,TRUE,315,275459,20171005
1982,Alabama,AL,1,63,41,US House,6,gen,FALSE,"Charles \Chuck\"" Ewing""",libertarian,FALSE,632,165387,20171005
1982,Alabama,AL,1,63,41,US House,7,gen,FALSE,James Jones,libertarian,FALSE,4058,128139,20171005
2014,Alabama,AL,1,63,41,US House,1,gen,FALSE,Bradley Byrne,republican,FALSE,103758,152234,20171005
2016,Alabama,AL,1,63,41,US House,4,gen,FALSE,,,TRUE,3519,239444,20171005
1990,Alabama,AL,1,63,41,US House,7,gen,FALSE,Claude Harris,democrat,FALSE,127490,180794,20171005
2004,Alabama,AL,1,63,41,US House,1,gen,FALSE,,,TRUE,159,255164,20171005
2006,Alabama,AL,1,63,41,US House,5,gen,FALSE,,,TRUE,2540,145555,20171005
1998,Alabama,AL,1,63,41,US House,6,gen,FALSE,,,TRUE,164,215582,20171005
1996,Alabama,AL,1,63,41,US House,3,gen,FALSE,"Ralph \R.E.\"" Stokes""",libertarian,FALSE,1983,195047,20171005
2010,Alabama,AL,1,63,41,US House,4,gen,FALSE,Robert B. Aderholt,republican,FALSE,167714,169721,20171005
1992,Alabama,AL,1,63,41,US House,4,gen,FALSE,,,TRUE,36,230523,20171005
2002,Alabama,AL,1,63,41,US House,3,gen,FALSE,George Crispin,libertarian,FALSE,2565,181223,20171005
2010,Alabama,AL,1,63,41,US House,5,gen,FALSE,,,TRUE,189,226490,20171005
2006,Alabama,AL,1,63,41,US House,3,gen,FALSE,Mike Rogers,republican,FALSE,98257,165301,20171005
2006,Alabama,AL,1,63,41,US House,4,gen,FALSE,Robert B. Aderholt,republican,FALSE,128484,183072,20171005
2012,Alabama,AL,1,63,41,US House,3,gen,FALSE,Mike Rogers,republican,FALSE,175306,273930,20171005
2014,Alabama,AL,1,63,41,US House,7,gen,FALSE,,,TRUE,2212,135899,20171005
2006,Alabama,AL,1,63,41,US House,4,gen,FALSE,,,TRUE,206,183072,20171005
1998,Alabama,AL,1,63,41,US House,2,gen,FALSE,,,TRUE,105,189669,20171005
1996,Alabama,AL,1,63,41,US House,6,gen,FALSE,,,TRUE,80,254859,20171005
2008,Alabama,AL,1,63,41,US House,5,gen,FALSE,Wayne Parker,republican,FALSE,147314,307282,20171005
2008,Alabama,AL,1,63,41,US House,2,gen,FALSE,Jay Love,republican,FALSE,142578,287394,20171005
1980,Alabama,AL,1,63,41,US House,5,gen,FALSE,,,TRUE,389,125356,20171005
1992,Alabama,AL,1,63,41,US House,4,gen,FALSE,"Martha \Mickey\"" Strickland""",republican,FALSE,66934,230523,20171005
1984,Alabama,AL,1,63,41,US House,2,gen,FALSE,Bill Dickinson,republican,FALSE,118153,195815,20171005
1988,Alabama,AL,1,63,41,US House,2,gen,FALSE,Bill Dickinson,republican,FALSE,120408,127861,20171005
2014,Alabama,AL,1,63,41,US House,4,gen,FALSE,Robert B. Aderholt,republican,FALSE,132831,134752,20171005
2014,Alabama,AL,1,63,41,US House,3,gen,FALSE,,,TRUE,246,156620,20171005
1980,Alabama,AL,1,63,41,US House,6,gen,FALSE,Philip Lenud,national democratic party of alabama,FALSE,1743,187982,20171005
1998,Alabama,AL,1,63,41,US House,6,gen,FALSE,Donna Wesson Smalley,democrat,FALSE,60657,215582,20171005
1996,Alabama,AL,1,63,41,US House,7,gen,FALSE,Earl F. Hilliard,democrat,FALSE,136651,192113,20171005
2000,Alabama,AL,1,63,41,US House,5,gen,FALSE,"Robert E. (Bud) Cramer, Jr.",democrat,FALSE,186059,209514,20171005
1990,Alabama,AL,1,63,41,US House,3,gen,FALSE,Glen Browder,democrat,FALSE,101923,138242,20171005
1990,Alabama,AL,1,63,41,US House,2,gen,FALSE,,,TRUE,19,170911,20171005
1982,Alabama,AL,1,63,41,US House,3,gen,FALSE,Bill Nichols,democrat,FALSE,100864,104784,20171005
2012,Alabama,AL,1,63,41,US House,1,gen,FALSE,,,TRUE,4302,200676,20171005
1988,Alabama,AL,1,63,41,US House,1,gen,FALSE,Ken Ament,libertarian,FALSE,1483,194363,20171005
1990,Alabama,AL,1,63,41,US House,2,gen,FALSE,William L. Dickinson,republican,FALSE,87649,170911,20171005
2000,Alabama,AL,1,63,41,US House,3,gen,FALSE,Bob Riley,republican,FALSE,147317,169519,20171005
1988,Alabama,AL,1,63,41,US House,4,gen,FALSE,Jerome Shockley,libertarian,FALSE,5264,137149,20171005
